bowler,total_batter_runs_conceded_mean,total_runs_from_relevant_extras_mean,total_total_runs_conceded_mean,total_taken_from_relevant_wickets_mean,powerplay_batter_runs_conceded_mean,powerplay_runs_from_relevant_extras_mean,powerplay_total_runs_conceded_mean,powerplay_taken_from_relevant_wickets_mean,non_powerplay_batter_runs_conceded_mean,non_powerplay_runs_from_relevant_extras_mean,non_powerplay_total_runs_conceded_mean,non_powerplay_taken_from_relevant_wickets_mean
03806cf8,1.1676802780191138,0.03735881841876629,1.2380538662033014,0.05386620330147698,0.9969558599695586,0.0243531202435312,1.060882800608828,0.0532724505327245,1.394736842105263,0.05465587044534413,1.4736842105263157,0.05465587044534413
039168c7,0.359375,0.1953125,0.5546875,0.0234375,0.2857142857142857,0.17857142857142858,0.4642857142857143,0.03571428571428571,0.38,0.2,0.58,0.02
0393fbdc,1.027027027027027,0.02702702702702703,1.054054054054054,0.10810810810810811,0.5,0.0,0.5,0.16666666666666666,1.1290322580645162,0.03225806451612903,1.1612903225806452,0.0967741935483871
0398fc0f,0.6842105263157895,0.05263157894736842,0.7669172932330827,0.05263157894736842,0.7333333333333333,0.06666666666666667,0.8888888888888888,0.022222222222222223,0.6590909090909091,0.045454545454545456,0.7045454545454546,0.06818181818181818
039cabd9,1.2173913043478262,0.0,1.2173913043478262,0.036231884057971016,1.0277777777777777,0.0,1.0277777777777777,0.05555555555555555,1.2843137254901962,0.0,1.2843137254901962,0.029411764705882353
03b9ec54,1.1327433628318584,0.061946902654867256,1.2743362831858407,0.017699115044247787,0.8529411764705882,0.08823529411764706,1.0441176470588236,0.029411764705882353,1.5555555555555556,0.022222222222222223,1.6222222222222222,0.0
03beb59f,1.1805555555555556,0.08333333333333333,1.2777777777777777,0.08333333333333333,0.8333333333333334,0.16666666666666666,1.0,0.08333333333333333,1.25,0.06666666666666667,1.3333333333333333,0.08333333333333333
03c94c2f,4.0,0.0,4.0,0.0,,,,,4.0,0.0,4.0,0.0
03c98aa6,1.0804597701149425,0.034482758620689655,1.1264367816091954,0.04597701149425287,3.1666666666666665,0.0,3.1666666666666665,0.0,0.9259259259259259,0.037037037037037035,0.9753086419753086,0.04938271604938271
03d9e80f,0.32142857142857145,0.19047619047619047,0.5476190476190477,0.07142857142857142,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.0,0.3246753246753247,0.19480519480519481,0.5454545454545454,0.07792207792207792
03da3399,1.1730769230769231,0.15384615384615385,1.3269230769230769,0.0,,,,,1.1730769230769231,0.15384615384615385,1.3269230769230769,0.0
03ef382c,1.1466666666666667,0.04,1.2133333333333334,0.013333333333333334,0.92,0.06,1.0,0.02,1.6,0.0,1.64,0.0
03fb10bd,0.37073170731707317,0.09268292682926829,0.48292682926829267,0.04390243902439024,0.5217391304347826,0.08695652173913043,0.6304347826086957,0.043478260869565216,0.3270440251572327,0.09433962264150944,0.44025157232704404,0.0440251572327044
040f11e8,0.8795811518324608,0.010471204188481676,0.8900523560209425,0.049738219895287955,1.130952380952381,0.0,1.130952380952381,0.05952380952380952,0.8087248322147651,0.013422818791946308,0.8221476510067114,0.04697986577181208
0420f51f,0.8085106382978723,0.05319148936170213,0.8723404255319149,0.05319148936170213,,,,,0.8085106382978723,0.05319148936170213,0.8723404255319149,0.05319148936170213
0443414a,2.0,0.14285714285714285,2.142857142857143,0.0,,,,,2.0,0.14285714285714285,2.142857142857143,0.0
045e73c2,0.5909090909090909,0.18181818181818182,0.8181818181818182,0.0,,,,,0.5909090909090909,0.18181818181818182,0.8181818181818182,0.0
