batter,total_runs_batter_mean,total_high_scoring_hit_mean,total_total_mean,total_is_wicket_mean,powerplay_runs_batter_mean,powerplay_high_scoring_hit_mean,powerplay_total_mean,powerplay_is_wicket_mean,non_powerplay_runs_batter_mean,non_powerplay_high_scoring_hit_mean,non_powerplay_total_mean,non_powerplay_is_wicket_mean
00015688,0.29411764705882354,0.029411764705882353,0.4852941176470588,0.04411764705882353,0.375,0.05,0.525,0.025,0.17857142857142858,0.0,0.42857142857142855,0.07142857142857142
00029c30,0.45454545454545453,0.0,0.8181818181818182,0.0,,,,,0.45454545454545453,0.0,0.8181818181818182,0.0
0030a57d,0.5333333333333333,0.0,0.7333333333333333,0.0,,,,,0.5333333333333333,0.0,0.7333333333333333,0.0
00321fff,0.6122448979591837,0.04081632653061224,0.673469387755102,0.08163265306122448,,,,,0.6122448979591837,0.04081632653061224,0.673469387755102,0.08163265306122448
00467a76,0.9746835443037974,0.10126582278481013,1.0886075949367089,0.10126582278481013,,,,,0.9746835443037974,0.10126582278481013,1.0886075949367089,0.10126582278481013
004c9e85,0.75,0.125,0.75,0.125,,,,,0.75,0.125,0.75,0.125
005f0561,0.6037735849056604,0.018867924528301886,0.7735849056603774,0.07547169811320754,,,,,0.6037735849056604,0.018867924528301886,0.7735849056603774,0.07547169811320754
007113d7,1.1481958762886597,0.13788659793814434,1.2384020618556701,0.03608247422680412,0.9696202531645569,0.1240506329113924,1.0683544303797468,0.027848101265822784,1.3333333333333333,0.15223097112860892,1.4146981627296589,0.04461942257217848
00755e00,0.4444444444444444,0.08333333333333333,0.6388888888888888,0.027777777777777776,0.43478260869565216,0.08695652173913043,0.7391304347826086,0.0,0.46153846153846156,0.07692307692307693,0.46153846153846156,0.07692307692307693
00757ae7,0.8,0.2,0.8,0.6,,,,,0.8,0.2,0.8,0.6
0079f139,0.7277777777777777,0.06666666666666667,0.8,0.08333333333333333,0.7777777777777778,0.1111111111111111,0.8333333333333334,0.08888888888888889,0.6777777777777778,0.022222222222222223,0.7666666666666667,0.07777777777777778
007a3773,0.5925925925925926,0.037037037037037035,0.7407407407407407,0.14814814814814814,,,,,0.5925925925925926,0.037037037037037035,0.7407407407407407,0.14814814814814814
007f121f,0.71,0.04,0.76,0.09,0.6833333333333333,0.05,0.7333333333333333,0.06666666666666667,0.75,0.025,0.8,0.125
00823a96,1.0,0.0,1.0,0.0,,,,,1.0,0.0,1.0,0.0
008589a4,0.7368421052631579,0.0,0.7894736842105263,0.05263157894736842,,,,,0.7368421052631579,0.0,0.7894736842105263,0.05263157894736842
00863408,1.1687898089171975,0.14968152866242038,1.232484076433121,0.025477707006369428,1.0260869565217392,0.16521739130434782,1.0695652173913044,0.02608695652173913,1.2512562814070352,0.1407035175879397,1.3266331658291457,0.02512562814070352
008a024c,0.5901639344262295,0.01639344262295082,0.6229508196721312,0.14754098360655737,,,,,0.5901639344262295,0.01639344262295082,0.6229508196721312,0.14754098360655737
0095a0e3,0.75,0.0,0.75,0.5,,,,,0.75,0.0,0.75,0.5
00be46fe,0.5,0.0,1.0,0.2,0.0,0.0,1.0,0.0,0.5555555555555556,0.0,1.0,0.2222222222222222
00c98c78,0.6666666666666666,0.08888888888888889,0.7111111111111111,0.06666666666666667,0.52,0.08,0.6,0.08,0.85,0.1,0.85,0.05
00d1544c,0.572,0.024,0.816,0.02,0.39814814814814814,0.009259259259259259,0.6666666666666666,0.027777777777777776,0.704225352112676,0.035211267605633804,0.9295774647887324,0.014084507042253521
00d69fa4,1.1705426356589148,0.16279069767441862,1.2403100775193798,0.05426356589147287,1.1159420289855073,0.18840579710144928,1.2028985507246377,0.043478260869565216,1.2333333333333334,0.13333333333333333,1.2833333333333334,0.06666666666666667
00eefafc,0.6666666666666666,0.0,0.6666666666666666,0.2222222222222222,,,,,0.6666666666666666,0.0,0.6666666666666666,0.2222222222222222
010658fc,0.0,0.0,0.16666666666666666,0.08333333333333333,,,,,0.0,0.0,0.16666666666666666,0.08333333333333333
01127aa9,0.8333333333333334,0.0,0.8333333333333334,0.08333333333333333,,,,,0.8333333333333334,0.0,0.8333333333333334,0.08333333333333333
011f6b42,1.2007255139056832,0.17291414752116083,1.2672309552599759,0.05078597339782346,1.1349206349206349,0.1746031746031746,1.2301587301587302,0.0496031746031746,1.303405572755418,0.17027863777089783,1.325077399380805,0.05263157894736842
012829ff,1.2105263157894737,0.13157894736842105,1.236842105263158,0.10526315789473684,,,,,1.2105263157894737,0.13157894736842105,1.236842105263158,0.10526315789473684
012bd3f6,0.07142857142857142,0.0,0.07142857142857142,0.14285714285714285,,,,,0.07142857142857142,0.0,0.07142857142857142,0.14285714285714285
01396dc6,0.265625,0.0,0.359375,0.109375,0.13793103448275862,0.0,0.27586206896551724,0.06896551724137931,0.37142857142857144,0.0,0.42857142857142855,0.14285714285714285
01404b98,0.0,0.0,0.0,0.3333333333333333,,,,,0.0,0.0,0.0,0.3333333333333333
01549705,1.168103448275862,0.16379310344827586,1.2672413793103448,0.03017241379310345,1.3298969072164948,0.23711340206185566,1.4639175257731958,0.020618556701030927,1.0518518518518518,0.1111111111111111,1.125925925925926,0.037037037037037035
0159383b,0.0,0.0,0.0,1.0,,,,,0.0,0.0,0.0,1.0
015ca83a,0.0,0.0,0.25,0.5,,,,,0.0,0.0,0.25,0.5
015dc0cd,0.968,0.096,1.056,0.04,0.0,0.0,0.0,0.0,1.0,0.09917355371900827,1.0909090909090908,0.04132231404958678
01679383,0.75,0.0625,0.75,0.15,1.6,0.3,1.6,0.2,0.6285714285714286,0.02857142857142857,0.6285714285714286,0.14285714285714285
017cadb2,0.7555266579973993,0.05721716514954486,0.8166449934980494,0.0494148244473342,0.4855072463768116,0.036231884057971016,0.5362318840579711,0.028985507246376812,0.8145800316957211,0.061806656101426306,0.8779714738510301,0.05388272583201268
017faef2,0.5555555555555556,0.0,0.5833333333333334,0.08333333333333333,,,,,0.5555555555555556,0.0,0.5833333333333334,0.08333333333333333
01815edc,0.29545454545454547,0.0,0.4318181818181818,0.09090909090909091,,,,,0.29545454545454547,0.0,0.4318181818181818,0.09090909090909091
0184dc35,1.4761904761904763,0.14285714285714285,1.4761904761904763,0.047619047619047616,0.4,0.0,0.4,0.0,1.8125,0.1875,1.8125,0.0625
018f6488,1.3015873015873016,0.15873015873015872,1.4126984126984128,0.1111111111111111,1.391304347826087,0.17391304347826086,1.5217391304347827,0.08695652173913043,1.25,0.15,1.35,0.125
019e7a95,0.0,0.0,0.0,1.0,,,,,0.0,0.0,0.0,1.0
01ac7f7c,1.6666666666666667,0.3333333333333333,1.6666666666666667,0.0,,,,,1.6666666666666667,0.3333333333333333,1.6666666666666667,0.0
01b45044,0.9605263157894737,0.07894736842105263,0.9868421052631579,0.039473684210526314,0.5454545454545454,0.09090909090909091,0.5454545454545454,0.0,1.0307692307692307,0.07692307692307693,1.0615384615384615,0.046153846153846156
