game_id,innings,total_batter_runs_conceded_mean,total_runs_from_relevant_extras_mean,total_total_runs_conceded_mean,total_taken_from_relevant_wickets_mean,powerplay_batter_runs_conceded_mean,powerplay_runs_from_relevant_extras_mean,powerplay_total_runs_conceded_mean,powerplay_taken_from_relevant_wickets_mean,non_powerplay_batter_runs_conceded_mean,non_powerplay_runs_from_relevant_extras_mean,non_powerplay_total_runs_conceded_mean,non_powerplay_taken_from_relevant_wickets_mean,total_runs_batter_mean,total_high_scoring_hit_mean,total_total_mean,total_is_wicket_mean,powerplay_runs_batter_mean,powerplay_high_scoring_hit_mean,powerplay_total_mean,powerplay_is_wicket_mean,non_powerplay_runs_batter_mean,non_powerplay_high_scoring_hit_mean,non_powerplay_total_mean,non_powerplay_is_wicket_mean,final_runs,final_wickets
c83fbf54-5ada-423a-bba2-65fdefdb9f1a,1,0.5059936697169974,-0.6261831835847529,0.46840390430914014,-0.12684529651651202,0.7792709829625822,-0.6728305866529322,0.6307588516274392,-0.38306182181067155,0.2211652580142982,-0.5055898554796963,0.2493754602357652,-0.27648300627735545,1.2321112533045984,1.3011368233206047,1.2859131708633138,-0.42021285125362934,1.068484796668455,1.2341576261469853,1.103919586449416,0.6748548157180215,1.4057325452114249,1.4590675957722146,1.467250527561092,-0.5513387322547938,189,5
c83fbf54-5ada-423a-bba2-65fdefdb9f1a,2,1.2575068709179291,-0.5432017379738925,1.1871839527974903,0.069359408087541,0.8241289241256515,-0.5471105017402945,0.7528970709439287,0.05529378778425624,1.2961164527580957,-0.42447046057824656,1.2386215185405396,0.12984584117482117,-0.20453974140581832,-0.45682152257317354,-0.21428531422501912,0.12770852080546358,0.08008870321354684,0.10862136876644296,0.13582623110656186,-0.3540708649298688,-0.08945290404587944,-0.3943029095493729,-0.11900299370134429,0.4430414668811196,108,8
c848a4fb-3cb1-443c-9add-011b6677938d,1,0.48093814376766514,-0.3652017572595423,0.4342165073198652,0.4379171161735533,0.1820550052961109,0.19233553751771376,0.19180318952188632,-0.8219974121570873,0.5754432446505756,-0.572922508094242,0.5225988277192193,0.7640160367136193,0.8010140221040892,0.8817790624066155,0.8433809045309045,0.526220881366808,0.9369477524987629,0.6869211180958942,0.936575041002226,0.1844183284058351,0.7881439766141448,0.8021568874604096,0.7814770817348524,0.6407297969586659,156,8
c848a4fb-3cb1-443c-9add-011b6677938d,2,0.39639830196601555,0.14159012288915282,0.46048674851866483,-0.15261768372659987,1.1684882659992886,-0.020524787698057254,1.1556369041330292,0.14596074470543885,0.5741663572204587,0.0016196884707864365,0.6449004843266456,-0.2671641185295192,0.5415900659847767,0.5173537360854713,0.566947682123599,0.1596894770577241,0.056792133812104746,-0.03962320283844606,0.08098642307176751,0.681292198847173,0.8581719273373182,0.91587912912296,0.8735580925958393,-0.38038909017738937,159,6
c8586081-9e02-4f8e-8b6b-885f520884cb,1,1.6281616067592177,-0.6810056667013652,1.5350527008021329,-0.18767204757701544,0.6543679283328167,-0.0981873135552721,0.6862654574523441,0.46599985834994945,1.7989478987521985,-0.6143668296189364,1.7252430495825593,-0.06334365672750818,0.9389783020306343,1.4072220732340612,1.0330621571519536,-0.16200638359216735,0.9167696123553163,1.1614005424629898,0.9459640537759029,-0.13194721263197226,1.161931528950841,1.480602226864758,1.2677994278266451,-0.1293976683635874,177,5
c8586081-9e02-4f8e-8b6b-885f520884cb,2,0.5149077206142011,-0.6529120322122832,0.39229772180987366,-0.4703550918042518,0.3962682567606295,-0.5940729767905134,0.25102459421862144,-0.6653440869591699,0.3246063508930829,-0.47640150958544875,0.23231292116529642,-0.3018614867219014,0.36313460221160093,0.050411424532303885,0.37413869754287976,1.4796682216946233,-0.19648119822028454,-0.35026048060512877,0.05577289365066022,-0.667867771273194,0.2341163470892726,-0.05640130163303696,0.19518091088492795,1.4890649175005874,116,10
c893a232-3c80-4d04-a5b4-63a5c3d044b1,1,-1.9000367986975095,0.9409099115629521,-1.7610437855478591,0.9907890573621375,-1.4819258702281137,1.1180204843345964,-1.290205625596623,0.1915941942348389,-2.0600319581863396,0.6999872225050395,-1.968585331663024,1.2126917890726419,-1.9964982688856694,-1.7189567978802012,-1.994679979348397,1.4746545929669101,-2.090742549536555,-1.7962467802278486,-2.1865438268429753,-0.82090246416555,-1.9281242169742325,-1.6202041911715193,-1.9191583705484978,1.5819014018580042,78,8
c893a232-3c80-4d04-a5b4-63a5c3d044b1,2,-0.7719684853415025,1.688128260126035,-0.6067222971182399,-4.906961330309351,-0.23544634405318152,2.3170315058463737,0.09307401251441584,-2.571370312124397,-0.615019749460441,0.8383217719779824,-0.5975198315856478,-4.321616320199533,-1.2917554786572911,-1.1672783024879454,-1.4593199796847378,-0.8036928823695034,-1.0467776684828196,-1.0072489233776396,-1.2340628469424957,-0.24278954899403624,-1.251683850899719,-1.3876940992910296,-1.3741087848288727,-0.6757332389018316,79,3
c8c9346a-91f2-437e-beed-c6ef669cea09,1,-0.6023239810194242,-0.9591838745414394,-0.8397552389334441,0.15780156403578666,-0.5260094936059277,-0.8915457256851688,-0.7667532463426486,-0.5396028412625014,-0.519253896001264,-0.9168376681214325,-0.7203749293505328,0.42890464151492386,-1.389891306729741,-1.6438763510917687,-1.4967787106860186,0.7989261389503242,-0.494222716557567,-0.948630035837752,-0.5521442274027636,-0.9264226441409326,-1.2951720137671046,-1.536397522538176,-1.394868943820897,0.4205980944829392,42,10
c8c9346a-91f2-437e-beed-c6ef669cea09,2,-1.1550517478279205,0.4182359056190837,-1.1522567378050104,-0.09881094752684337,-1.197712124639967,-0.5415349432442575,-1.4214200244919815,1.397285318799407,-1.0603167010798913,0.7990913742143908,-0.9751578118858761,-0.7296217405637633,-0.6661298244972429,-0.47354361395787253,-0.7929508340629375,-0.7157005248285632,-0.6364796564058711,-0.4501714041615755,-0.7608238399385129,-0.48247995536965166,-0.7119296093260982,-0.7135065525220473,-0.8483834111522968,-0.2762056979906306,44,3
